TA_ID,LAT,LONG,TAMBON_E
100101,13.751,100.492,Phra Borom Maha Ratchawang
100102,13.744,100.499,Wang Burapha Phirom
100103,13.75,100.499,Wat Ratchabophit
100104,13.751,100.503,Samran Rat
100105,13.754,100.497,San Chaopho Suea
100106,13.753,100.5,Sao Chingcha
100107,13.757,100.501,Bowon Niwet
100108,13.76,100.498,Talat Yot
100109,13.762,100.495,Chana Songkhram
100110,13.762,100.503,Ban Phan Thom
100111,13.765,100.505,Bang Khun Phrom
100112,13.768,100.499,Wat Sam Phraya
100201,13.772,100.513,Dusit
100202,13.778,100.505,Wachira Phayaban
100203,13.767,100.52,Suan Chit Lada
100204,13.758,100.517,Si Yaek Maha Nak
100206,13.789,100.522,
100301,13.823,100.897,
100302,13.869,100.885,
100303,13.914,100.82,
100304,13.914,100.88,
100305,13.84,100.836,
100306,13.872,100.81,
100307,13.797,100.844,
100308,13.781,100.877,
100401,13.734,100.52,
100402,13.73,100.525,
100403,13.724,100.53,
100404,13.727,100.527,
100405,13.725,100.514,
100502,13.868,100.606,
100508,13.866,100.65,
100601,13.786,100.635,
100608,13.756,100.66,
100701,13.744,100.52,
100702,13.742,100.526,
100703,13.74,100.535,
100704,13.736,100.546,
100801,13.743,100.514,
100802,13.749,100.512,
100803,13.753,100.513,
100804,13.752,100.507,
100805,13.759,100.511,
100905,13.692,100.626,
101001,13.804,100.723,
101002,13.812,100.774,
101101,13.723,100.771,
101102,13.753,100.723,
101103,13.753,100.754,
101104,13.765,100.817,
101105,13.728,100.815,
101106,13.736,100.855,
101203,13.682,100.533,
101204,13.697,100.544,
101301,13.741,100.504,
101302,13.739,100.511,
101303,13.734,100.513,
101401,13.782,100.545,
101501,13.737,100.493,
101502,13.731,100.49,
101503,13.72,100.482,
101504,13.707,100.486,
101505,13.715,100.473,
101601,13.743,100.486,
101602,13.733,100.475,
101701,13.769,100.577,
101702,13.752,100.586,
101704,13.796,100.579,
101801,13.731,100.497,
101802,13.735,100.504,
101803,13.715,100.501,
101804,13.725,100.508,
101901,13.76,100.456,
101902,13.789,100.459,
101903,13.786,100.432,
101904,13.752,100.442,
101905,13.767,100.431,
101907,13.751,100.419,
102004,13.759,100.481,
102005,13.752,100.477,
102006,13.774,100.466,
102007,13.76,100.463,
102009,13.772,100.477,
102105,13.555,100.434,
102107,13.605,100.395,
102201,13.714,100.443,
102202,13.723,100.437,
102206,13.727,100.45,
102207,13.736,100.445,
102208,13.738,100.423,
102209,13.722,100.464,
102210,13.727,100.457,
102302,13.68,100.358,
102303,13.714,100.351,
102401,13.67,100.51,
102402,13.675,100.491,
102501,13.791,100.487,
102502,13.802,100.512,
102503,13.781,100.482,
102504,13.774,100.492,
102601,13.778,100.567,
102701,13.808,100.65,
102801,13.71,100.532,
102802,13.714,100.514,
102803,13.718,100.541,
102901,13.82,100.529,
103001,13.826,100.565,
103101,13.696,100.494,
103102,13.706,100.508,
103103,13.694,100.516,
103201,13.719,100.664,
103202,13.687,100.656,
103203,13.68,100.689,
103301,13.71,100.57,
103302,13.723,100.571,
103303,13.707,100.595,
103401,13.726,100.628,
103501,13.694,100.45,
103502,13.702,100.476,
103503,13.672,100.468,
103504,13.693,100.468,
103602,13.925,100.593,
103701,13.763,100.53,
103702,13.757,100.538,
103703,13.752,100.559,
103704,13.752,100.528,
